Date,SECT,SPY,VFMF,VFMO
14/7/2020,28.20726395,298.7260437,62.72504044,84.4905777
15/7/2020,28.66331863,301.470459,64.01361847,85.61090851
16/7/2020,28.6147995,300.4776611,63.92518616,85.08802032
17/7/2020,28.62450218,301.3487549,64.08084869,86.12041473
20/7/2020,28.77004814,303.7839966,63.98047256,87.8420105
21/7/2020,28.94470787,304.4303589,64.54507446,87.2053833
22/7/2020,29.15817451,306.163269,64.91810608,87.75502014
23/7/2020,28.77004814,302.5102234,64.8914032,86.56492615
24/7/2020,28.6147995,300.5618896,64.31481171,85.63957977
27/7/2020,28.93500519,302.7537537,64.99732208,87.27610779
28/7/2020,28.63420486,300.8334961,64.3811264,86.19018555
29/7/2020,28.97381973,304.5333862,65.52142334,87.43383789
30/7/2020,28.69242287,303.4468994,65.30679321,88.00547791
31/7/2020,29.03203583,305.8447876,65.02680206,87.80186462
3/8/2020,29.4977932,307.9710388,66.08418274,90.05782318
4/8/2020,29.52689934,309.1606445,66.22603607,90.37422943
5/8/2020,29.69185638,311.0808105,66.86985016,90.89043427
6/8/2020,29.78888893,313.1601868,66.69391632,90.62086487
7/8/2020,29.76948357,313.3851013,67.4316864,90.31398773
10/8/2020,29.90047836,314.3217773,67.84157562,89.61716461
11/8/2020,29.58803558,311.7271118,67.67120361,87.6804657
12/8/2020,29.99265289,316.0733032,68.45870972,88.95565033
13/8/2020,30.02176476,315.5019531,68.12528229,89.76055145
14/8/2020,30.03146744,315.5113525,68.1971283,89.31126404
17/8/2020,30.1867218,316.5136108,68.39331055,91.00800323
18/8/2020,30.15761185,317.1973267,67.87660217,91.08351898
19/8/2020,30.07028198,315.8766785,67.87014008,90.9783783
20/8/2020,30.1770153,316.8601074,67.49528503,91.41904449
21/8/2020,30.35167694,317.9841003,67.44276428,91.05101776
24/8/2020,30.52633476,321.2062988,68.13816833,90.39048004
25/8/2020,30.63306808,322.3303223,68.10871124,91.00132751
26/8/2020,30.73980522,325.5619202,68.15476227,91.72875977
27/8/2020,30.73301697,326.2737427,68.2514801,91.12750244
28/8/2020,30.95327568,328.3812866,68.43569183,91.4152298
31/8/2020,30.83683586,327.1916809,68.10593414,92.03180695
1/9/2020,31.02022552,330.2733765,68.38961029,92.93512726
2/9/2020,31.48695755,335.0505371,69.56214905,93.54978943
3/9/2020,30.39048767,323.519989,67.29633331,88.86196899
4/9/2020,30.27404785,320.87854,67.06328583,87.38318634
8/9/2020,29.29402542,312.1112366,65.34363556,85.22949982
9/9/2020,29.96354866,318.2745667,66.33931732,87.74642181
10/9/2020,29.46868706,312.7481689,65.45693207,86.69682312
11/9/2020,29.54631042,312.9072876,65.39892578,85.99804688
14/9/2020,30.1770153,317.0287476,66.46367645,88.64785767
15/9/2020,30.15761185,318.6304321,66.40747833,89.48045349
16/9/2020,30.26434898,317.3659668,66.50143433,89.22233582
17/9/2020,30.02176476,314.574646,66.15879822,88.43466949
18/9/2020,29.70156097,310.9530029,65.80418396,88.65072632
21/9/2020,29.36194611,307.4922791,64.24250793,88.25281525
22/9/2020,29.6724472,310.6239014,64.66205597,89.34037018
23/9/2020,28.95939255,303.4202881,63.4145546,86.64306641
24/9/2020,28.97882652,304.2290039,63.57904434,86.44983673
25/9/2020,29.40626717,309.1473999,64.24160767,88.47375488
28/9/2020,29.93085861,314.2821655,65.53900146,89.90562439
29/9/2020,29.82400131,312.5706177,65.35324097,90.39055634
30/9/2020,30.16400909,314.9404602,65.77832794,90.84679413
1/10/2020,30.36802101,316.9624023,66.13130188,92.32933044
2/10/2020,30.09503937,313.9530334,66.42330933,91.23034668
5/10/2020,30.65945816,319.5203857,67.92675781,93.93625641
6/10/2020,30.27087402,314.9780273,67.44070435,92.97783661
7/10/2020,30.75660515,320.4607544,68.64752197,95.17488861
8/10/2020,31.02861595,323.3008423,69.23983765,95.31071472
9/10/2020,31.30062866,326.1880188,69.68340302,96.70334625
12/10/2020,31.7572155,331.4355774,70.34039307,97.53070831
13/10/2020,31.66978455,329.272644,70.03453827,98.47285461
